Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Year
74;Chaundee Brown Jr.;SG-SF;23;TOT;5;2;20.8;2.0;6.4;0.313;1.2;3.6;0.333;0.8;2.8;0.286;0.406;1.0;1.2;0.833;0.2;3.0;3.2;0.8;0.4;0.0;0.2;1.4;6.2;2021-2022
74;Chaundee Brown Jr.;SF;23;LAL;2;0;10.5;0.5;3.5;0.143;0.0;1.5;0.0;0.5;2.0;0.25;0.143;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.5;0.0;1.0;2021-2022
74;Chaundee Brown Jr.;SG;23;ATL;3;2;27.7;3.0;8.3;0.36;2.0;5.0;0.4;1.0;3.3;0.3;0.48;1.7;2.0;0.833;0.3;4.3;4.7;1.3;0.7;0.0;0.0;2.3;9.7;2021-2022
75;Greg Brown III;SF;20;POR;48;6;13.3;1.7;4.0;0.426;0.4;1.3;0.311;1.3;2.7;0.481;0.476;0.9;1.4;0.677;0.8;2.0;2.8;0.7;0.5;0.5;0.8;1.9;4.7;2021-2022
76;Jaylen Brown;SF;25;BOS;66;66;33.6;8.7;18.4;0.473;2.5;7.0;0.358;6.2;11.4;0.544;0.541;3.7;4.8;0.758;0.8;5.3;6.1;3.5;1.1;0.3;2.7;2.5;23.6;2021-2022
77;Moses Brown;C;22;TOT;40;6;8.6;1.6;2.7;0.593;0.0;0.0;0.0;1.6;2.7;0.593;0.593;1.1;1.8;0.597;1.0;2.4;3.4;0.0;0.2;0.4;0.5;1.3;4.3;2021-2022
77;Moses Brown;C;22;DAL;26;1;6.5;1.0;1.9;0.54;0.0;0.0;0.0;1.0;1.9;0.54;0.54;1.0;1.7;0.628;0.6;1.7;2.3;0.0;0.1;0.3;0.5;1.1;3.1;2021-2022
77;Moses Brown;C;22;CLE;14;5;12.6;2.6;4.1;0.638;0.0;0.0;0.0;2.6;4.1;0.638;0.638;1.1;2.1;0.552;1.6;3.6;5.3;0.0;0.3;0.5;0.4;1.8;6.4;2021-2022
78;Sterling Brown;SG;26;DAL;49;3;12.8;1.2;3.2;0.381;0.6;1.9;0.304;0.6;1.3;0.492;0.471;0.3;0.3;0.933;0.5;2.5;3.0;0.7;0.3;0.1;0.5;1.1;3.3;2021-2022
79;Troy Brown Jr.;SF;22;CHI;66;7;16.0;1.6;3.9;0.419;0.7;2.0;0.353;0.9;1.9;0.488;0.51;0.3;0.4;0.769;0.6;2.5;3.1;1.0;0.5;0.1;0.4;0.9;4.3;2021-2022
80;Jalen Brunson;PG;25;DAL;79;61;31.9;6.4;12.8;0.502;1.2;3.2;0.373;5.2;9.6;0.545;0.549;2.3;2.7;0.84;0.5;3.4;3.9;4.8;0.8;0.0;1.6;1.9;16.3;2021-2022
81;Thomas Bryant;C;24;WAS;27;9;16.3;2.9;5.5;0.52;0.4;1.6;0.286;2.4;3.9;0.613;0.561;1.3;1.5;0.875;1.0;3.0;4.0;0.9;0.2;0.8;0.7;1.6;7.4;2021-2022
82;Shaq Buchanan;PG;25;MEM;2;0;5.0;0.5;2.0;0.25;0.0;1.0;0.0;0.5;1.0;0.5;0.25;0.0;0.0;0.0;0.5;0.5;1.0;1.0;0.5;0.0;1.0;0.5;1.0;2021-2022
83;Reggie Bullock;SF;30;DAL;68;37;28.0;3.0;7.4;0.401;2.1;5.8;0.36;0.9;1.6;0.55;0.542;0.6;0.7;0.833;0.5;3.1;3.5;1.2;0.6;0.2;0.6;1.6;8.6;2021-2022
84;Trey Burke;PG;29;DAL;42;0;10.5;2.0;5.1;0.391;0.6;2.0;0.317;1.4;3.2;0.436;0.451;0.5;0.5;0.87;0.1;0.7;0.8;1.4;0.3;0.0;0.6;0.9;5.1;2021-2022
85;Alec Burks;SG;30;NYK;81;44;28.6;3.5;9.0;0.391;1.9;4.8;0.404;1.6;4.2;0.378;0.499;2.7;3.3;0.822;0.6;4.3;4.9;3.0;1.0;0.3;1.1;2.7;11.7;2021-2022
86;Jared Butler;SG;21;UTA;42;1;8.6;1.5;3.6;0.404;0.7;2.1;0.318;0.8;1.5;0.524;0.497;0.3;0.4;0.688;0.1;1.0;1.1;1.5;0.4;0.2;0.8;1.1;3.8;2021-2022
87;Jimmy Butler;SF;32;MIA;57;57;33.9;7.0;14.5;0.48;0.5;2.0;0.233;6.5;12.5;0.52;0.496;6.9;8.0;0.87;1.8;4.1;5.9;5.5;1.6;0.5;2.1;1.5;21.4;2021-2022
88;Devontae Cacok;PF;25;SAS;15;0;8.1;1.4;2.1;0.677;0.0;0.0;0.0;1.4;2.1;0.677;0.677;0.3;0.5;0.571;0.5;2.3;2.8;0.4;0.5;0.5;0.2;1.1;3.1;2021-2022
89;Kentavious Caldwell-Pope;SG;28;WAS;77;77;30.2;4.7;10.8;0.435;2.1;5.3;0.39;2.6;5.5;0.48;0.531;1.8;2.0;0.89;0.5;2.9;3.4;1.9;1.1;0.3;1.3;1.8;13.2;2021-2022
90;Facundo Campazzo;PG;30;DEN;65;4;18.2;1.6;4.6;0.361;0.9;3.0;0.301;0.8;1.6;0.476;0.459;0.9;1.2;0.769;0.4;1.4;1.8;3.4;1.0;0.4;1.0;1.9;5.1;2021-2022
91;Vlatko ?an?ar;PF;24;DEN;15;1;11.7;1.5;2.7;0.561;0.5;0.8;0.583;1.1;1.9;0.552;0.646;0.6;0.9;0.643;0.5;1.5;2.1;1.1;0.1;0.2;0.6;1.2;4.1;2021-2022
